,note,nrate,ingre,time,rooturl,pattern,recipeurl,budget,level,likes,nutriscore,ecoscore
Crumble façon Noël,0,0,"pomme,pain d'épices (maison de préférence),sucre + 3c. à soupe,beurre,marrons cuits à la vapeur concassés.Éplucher les pommes et les couper en cubes.Faire fondre la noix de beurre dans une petite...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_crumble-facon-noel_313607.aspx,bon marché,facile,52,c,b
Boules de noix de Noel,0,0,"noix rapées (noix du noyer de France),sucre glace,beurre,café de café soluble,sucre cristallisé.Faire fondre le beurre dans une casserole très doucement, et le  retirer dès qu'il est fondu.Passer...",65,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_boules-de-noix-de-noel_42949.aspx,bon marché,très facile,47,e,c
Dessert glacé chocolat vanille,0,0,"crème liquide,mascarpone,sucre glace,extrait de vanille,chocolat noir,crêpe dentelle (gavottes).Pour l'étage à la vanille:	Battre 20 cL de crème fraiche avec 2 cuillers à soupe de sucre glace...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-glace-chocolat-vanille_112820.aspx,bon marché,facile,100,d,c
Omelette du dessert poire chocolat,4,2,"oeuf,crème épaisse,miel liquide,chocolat,poire bien mûres,cannelle,beurre.Casser les oeufs dans un saladier. Ajouter la crème et le miel. Bien mélanger. Ajouter ensuite le chocolat râpé, les...",21,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_omelette-du-dessert-poire-chocolat_37350.aspx,bon marché,très facile,234,d,c
Velouté & chips de chou-fleur,0,0,"chou-fleur avec ses feuilles,farine,eau,sauce soja,vinaigre balsamique,miel,épices (muscade, piment d'Espelette, curry,..etc),sel,poivre.Séparer le chou des feuilles de...",77,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_veloute-chips-de-chou-fleur_529000.aspx,bon marché,très facile,0,,
Nems dessert aux fruits,3.4,5,"galette de riz (surgelées si possible), on en trouve dans les magasins asiatiques et c'est sensationnel !,pomme golden,fruits rouges (surgelés),banane,raisins secs,cassonade,vanille en poudre,cannelle,jus...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_nems-dessert-aux-fruits_33803.aspx,bon marché,Niveau moyen,301,a,b
Dessert à l'orange du maroc,4.8,6,"orange,miel,cannelle (en poudre).Épluchez les oranges puis les couper en rondelles, faites revenir le miel à feu moyen dans une petite casserole.Déposez les rondelles d'orange sur une assiette plate,...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-a-l-orange-du-maroc_83721.aspx,bon marché,très facile,445,a,b
Dessert glacé - bananes et mangues,4,2,"mangue moyennes,banane bien mûres,yaourt à 0 % (un brassé nature ou un yaourt à l'ananas Weight Watchers par exemple),sucre (ou édulcorant),blanc d'oeuf (facultatif).Lavez, pelez et coupez les...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-glace-bananes-et-mangues_18812.aspx,bon marché,très facile,198,a,c
Dessert frais à la mangue,2,1,"mangue,pamplemousse,pomme,yaourt nature,sucre.Epluchez la mangue et la pomme, coupez-les en petits morceaux. Pressez le pamplemousse.Dans un mixer ajouter, les morceaux de mangue, de pomme, le jus de...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-frais-a-la-mangue_68963.aspx,bon marché,très facile,157,a,b
Verrines de Yaourt et muesli au Nutella®,4.3,3,"muesli,Nutella®,yaourt à la grecque.Dans chaque verrine, déposez une couche de muesli.Puis, déposez 15 g de Nutella®, 2 cuillerées de yaourt grec et garnissez de...",7,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=300&page=26,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_verrines-de-yaourt-et-muesli-au-nutella_348752.aspx,bon marché,très facile,2100,,
Petits gâteaux de Noël très rapides,3.3,8,"farine,sucre,beurre,cannelle + gingembre ou cacao ou ricorée ou zeste d'orange, bref comme vous voulez !,lait tiède.Mélanger tous les ingrédients sauf le lait : la pâte doit être sableuse.Rajouter...",13,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_petits-gateaux-de-noel-tres-rapides_54230.aspx,bon marché,très facile,733,d,b
Brioches de Noël au citron confit,0,0,"farine,levure de boulangerie,lait tiède,sucre,sel,beurre fondu,oeuf,citron confit,eau de fleurs d'oranger,beurre mou,sucre vanillée,jaune d'oeuf battu avec un peu de lait pour dorer,sucre glace.Tamisez...",140,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_brioches-de-noel-aux-citrons-confits_221830.aspx,bon marché,facile,31,c,c
Cookie vegan de Ela Ryth,0,0,.,25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_cookie-vegan-de-ela-ryth_528444.aspx,bon marché,facile,0,,
Bredeles de Noël à la vanille,0,0,"sucre fin,sucre vanillé ,beurre,farine,vanille ( Facultatif ).Mélanger bien l’œuf, le sucre vanillé et le beurre ramolli dans un plat.Incorporer la farine, puis faire une boule de pâte que vous...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_bredeles-de-noel-a-la-vanille_383882.aspx,bon marché,très facile,0,d,c
Roses de Noël : légumes et jambon,0,0,"jambon pas trop fine,saumon fumé,tomates cerises,betterave rouge,asperge,macédoine de légumes,mayonnaise (light, aux œufs ou au citron selon les goûts),vinaigre,cornichon aigre-doux,salade laitue,persil...",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_roses-de-noel-legumes-et-jambon_64158.aspx,bon marché,facile,118,a,b
Truffon chocolat - châtaignes de Noël,4,1,"châtaigne épluchées entières et surgelées (ou 1,700 kg de châtaignes fraîches à cuire),chocolat noir,beurre doux,lait,sucre vanillé,sucre en poudre,rhum ambré ou blanc.Faire cuire les...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_truffon-chocolat-chataignes-de-noel_53580.aspx,Coût moyen,facile,117,c,c
Dinde du Sud pour Noël,5,14,"dinde ou 1 beau poulet du gers,tomate,courgette,échalote,ail,abricot secs,miel,Volailles.Préchauffer le four à 180°C (thermostat 6) et beurrer le fond d'un plat.Tapisser le fond du plat avec la...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dinde-du-sud-pour-noel_51709.aspx,bon marché,très facile,100,a,c
Houmous de patate douce au pesto,5,1,"patate douce,pois chiches précuits,Bugles® saveur paprika rôti,tahini,sirop d'érable,persil,ail,parmesan râpé,huile d'olive.Éplucher la patate douce et la couper en...",45,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_sweet-potato-parade_392123.aspx,bon marché,très facile,0,,
Cake de Noël aux marrons,4,1,"oeuf,citron,sucre,farine,levure,beurre,lait,sirop d'érable,châtaigne en boîte ou en bocal + 2 ou 3 pour la décoration,pomme,décor en sucre.Préchauffer le four à 180°C (thermostat 6).Dans un...",70,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_cake-de-noel-aux-marrons_222179.aspx,Coût moyen,facile,81,b,c
Crème dessert au fruit de la passion et ananas,5,2,"fruit de la passion,ananas en tranches,lait concentré sucré (397 g),fromage blanc,crème fraîche épaisse.Mixer les fruits de la passion ainsi que 4 tranches d'ananas : filtrer la mixture afin d'oter...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_creme-dessert-au-fruit-de-la-passion-et-ananas_166831.aspx,Coût moyen,très facile,132,c,b
coulom (brioche d'avant Noël),4,1,"farine,sucre,beurre,oeuf,levure de boulanger,lait,sel,citron et d'orange,eau de fleur d'oranger,jaune d'oeuf pour dorer,praline,sucre glace.Mélangez farine, oeufs, sucre et sel.Creusez un puits dans...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_coulom-brioche-d-avant-noel_41218.aspx,bon marché,facile,130,d,c
Petits nuages blancs de Noël,0,0,"cerneau de noix (ou à défaut, d'amandes),oeuf (pour les blancs),sucre en poudre,rhum.Préchauffez le four à 140°C (thermostat 4-5).Hachez grossièrement les noix.Fouettez les blancs en neige ferme...",50,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_petits-nuages-blancs-de-noel_52482.aspx,bon marché,Niveau moyen,51,d,c
Truffes au beurre de cacahuètes SKIPPY®,0,0,"SKIPPY®️ Extra Crunchy,beurre à température ambiante,sucre glace,riz soufflé,chocolat noir,Paillettes dorées alimentaires.Mélanger le beurre de cacahuètes SKIPPY®,...",95,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=312&page=27,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_truffes-au-beurre-de-cacahuetes-skippy_529156.aspx,bon marché,facile,0,,
Bombe de Noël au Grand-Marnier,0,0,"oeuf,sucre,sel,farine,beurre,beurre mou,sucre glace,blanc d'oeuf,orange,grand-marnier,sucre en morceaux,sucre en poudre,orange à jus,grand-marnier.Cassez les oeufs dans un saladier, ajouter le sucre et...",120,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_bombe-de-noel-au-grand-marnier_21288.aspx,Coût moyen,difficile,52,d,c
Une crème glacée de Noël,5,1,"sucre fin,lait entier,crème fraîche,extrait de vanille,sel,orange confites,raisins secs marinés dans de l'armagnac,pâtes d'amandes,cannelle.L'attrait de cette glace est de restituer les saveurs des...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_une-creme-glacee-de-noel_49585.aspx,Coût moyen,facile,120,d,c
Plateau surprise Noël,0,0,"fromage de chèvre frais,herbes de Provence,curry ou paprika,abricot secs,noix ou noisettes ou pigons,fruits,raisin.Matériel : - piques en bois- décoration de NoëlPercer quelques trous dans la buche....",20,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_plateau-surprise-noel_54257.aspx,bon marché,très facile,55,a,c
Flan facile à la crème dessert,0,0,"crème dessert (ou 4 petits pots de crèmes dessert),farine,sucre.Dans un saladier, mélangez la boîte de crème dessert avec la farine et le sucre.Disposez la préparation dans un moule pour faire...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_flan-a-la-creme-dessert_228106.aspx,bon marché,très facile,111,d,b
Boulettes de boeuf en brochette par Laurent Mariotte,4,1,"boeuf haché,oignon rouge,gingembre,chapelure,oeuf,huile de pépin de raisin,sel,poivre,sauce soja,piquillo,vinaigre de riz,fécule de maïs,ciboulette.Préchauffez la...",45,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_boulettes-de-boeuf-en-brochette-par-laurent-mariotte_528181.aspx,bon marché,très facile,0,,
Charlotte flon - flon (dessert glacé),4.5,4,"framboises,glace vanille,biscuit à la cuiller,crème chantilly.Sortir la glace à la vanille et le sorbet à la framboise afin de les faire ramollir un peu à température ambiante.Prendre un plat...",20,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_charlotte-flon-flon-dessert-glace_17841.aspx,bon marché,très facile,215,b,c
Dessert frais ananas-coco (verrine),3,2,"quatre-quart,ananas au sirop (en morceaux),crème (type Danette) à la noix de coco,crème fouettée,vermicelles au chocolat (pour la décoration).Coupez chaque tranche de quatre-quart en 4 et mettez-la...",10,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-frais-ananas-coco-verrine_50149.aspx,bon marché,très facile,229,c,c
Ma première buche de Noël,0,0,"sucre semoule,maïzena,oeuf,farine,amandes en poudre,sucre vanillé,sirop de la boite de poire,rhum (à doser selon le goût),crème liquide (30% mat grasse minimum),chocolat noir pâtissier,poire au...",720,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_ma-premiere-buche-de-noel_221618.aspx,bon marché,Niveau moyen,115,d,c
Volailles aux épices de Noël,0,0,"poulet (entre 1,8 et 2 kg),orange,cannelle,étoile de badiane,clou de girofle,huile,gingembre frais en purée,sel et poivre,bouillon,mirin,miel,ail écrasée,gingembre écrasé en purée,sel et...",80,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_volailles-aux-epices-de-noel_529687.aspx,Coût moyen,Niveau moyen,0,a,d
Mafé au beurre de cacahuètes SKIPPY® par @danslacuisinedebenjamin,5,2,"filet de poulet,beurre de cacahuètes SKIPPY®,tomate (en boîte l'hiver),carotte,oignon,concentré de tomates,piment,bouillon de volaille,paprika,coriandre,poivre .Faire...",65,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_mafe-au-beurre-de-cacahuetes-skippy_529157.aspx,bon marché,facile,0,,
Bûche de Noël façon Tiramisu ,0,0,"sucre en poudre,sucre glace,sucre roux,sucre vanillé,glucose,chocolat blanc,chocolat praliné,café,gélatine,lait concentré non sucré,poire,vanille,crêpe,oeuf,mascarpone,crème...",150,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-facon-tiramisu_389604.aspx,Coût moyen,Niveau moyen,0,d,c
Biscuit anglais de Noël simplissime,3.5,2,"farine,cassonade,levure,sel fin,gingembre,muscade,lait,huile,oeuf,raisins secs imbibés de moitié eau / moitié rhum,noix hachées,noisettes hachées,carotte râpées.Mélanger farine, cassonade,...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_biscuit-anglais-de-noel-simplissime_26197.aspx,bon marché,très facile,189,c,c
Pragerplätzchen (sablés de Noël meringués),4,2,"farine,beurre,oeuf,sucre (poudre très fin voire sucre glace),citron,cannelle,levure chimique,raisins secs ou pépites de chocolat.Ces sablés se composent d'une base de pâte sablée et d'une...",35,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_pragerplatzchen-sables-de-noel-meringues_43211.aspx,bon marché,Niveau moyen,233,e,c
Sapin de Noël aux bonbons,0,0,"beurre,farine,sucre de canne,sucre,oeuf,mélasse,quatre-épices,gingembre,sel,levure,Smarties® Mini ou de Mini m&m's.Mélanger la farine, la levure, le sel, les épices.Faire fondre le beurre dans une...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_sapin-de-noel-aux-bonbons_529691.aspx,bon marché,facile,0,d,b
Riz au lait de coco par Laurent Mariotte,5,2,"riz blanchi,lait de coco,crème liquide,vanille,fleur de sel,citron vert,graines de sésame torréfié.Faire blanchir le riz deux fois.Faire chauffer le lait de coco, la...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=324&page=28,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_riz-au-lait-de-coco-par-laurent-mariotte_527914.aspx,bon marché,facile,0,,
Bricks de pommes-poires ou dessert de carême amélioré,0,0,"pomme ,amandes effilées,pignons ,miel liquide ,poudre de coco,beurre,poire ,brick ,vanille.Eplucher les pommes et les poires et les couper en morceaux (pas trop petits pour qu'elles conservent leur...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_bricks-de-pommes-poires-ou-dessert-de-careme-ameliore_349849.aspx,bon marché,très facile,14,b,b
Poularde de Noël au chutney de mangue,0,0,"poularde,cube de bouillon de légumes,oignon,clou de girofle,cannelle,pomme,raisins secs trempés dans du porto,chutney de mangue,margarine,poivre,sel.Préparer le bouillon : dans 2l d'eau mettre 2 cubes...",110,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_poularde-de-noel-au-chutney-de-mangue_175172.aspx,assez cher,Niveau moyen,162,d,d
La farce de Noël de Maman,0,0,"chair à saucisse,oignon (moyens),pain,Abats de la volaille,raisins secs,poivre,sel,persil et fines herbes.Découper les oignons en petits morceaux.Couper les tranches de pain pour récupérer la mie, la...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_la-farce-de-noel-de-maman_222117.aspx,bon marché,facile,90,c,d
"Champagne ""Madame"" (dessert au sorbet aux myrtilles)",0,0,"blanc d'oeuf,sucre,myrtilles,coulis de fraise,champagne,mélisse.Givrer le bord des verres avec le blanc d'oeuf et le sucre.Mettre une boule de sorbet aux myrtilles dans chaque verre et la napper de...",10,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_champagne-madame_331923.aspx,assez cher,facile,21,c,c
Houmous de potimarron à l’indienne Patak's,0,0,"potimarron,ail hâchée,pois chiches en conserve,tahin (purée de sésame),Pâte de Curry Tikka Masala Patak’s,jus de citron,sel,poivre,pain indien naan.Préchauffer le...",45,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_houmous-de-potimarron-a-l-indienne_391509.aspx,bon marché,facile,0,,
Dessert aux épices et aux fruits rouges,0,0,"beurre,sucre semoule,flocons d'avoine,cardamome pillée,yaourt pour cuisine,miel liquide,fruits rouges frais (framboises, myrtilles,...).Faire fondre le beurre jusqu'à ce qu'il prenne une coloration...",20,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-aux-epices-et-aux-fruits-rouges_16551.aspx,bon marché,très facile,43,a,c
Pizza-repas entrée plat et dessert,1,1,"pâte à pizza,coulis de tomate,sel de céleri,huile d'olive,concentré de tomates,crème de poivron,saucisson lyonnais,jambon de vendée,champignon de Paris,saint-marcellin,pâte à tartiner,corn flakes...",45,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_pizza-repas_212855.aspx,Coût moyen,facile,62,d,c
Macaroné (dessert poitevin) super facile,0,0,"sucre en poudre,poudre d'amande,poudre de noisette,blanc d'oeuf,beurre .Préchauffer le four à 180°C (thermostat 6).Dans un saladier, verser le sucre, la poudre d'amande et la poudre de noisette et...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_macarone-dessert-poitevin-super-facile_223501.aspx,bon marché,très facile,153,d,d
Gâteau de biscuits enrobé de crème dessert au chocolat,5,1,"biscuit (type ""Thé"" de Lu),crème dessert au chocolat (type danette).Trempez vos biscuits dans de la crème dessert. Disposez-les dans un plat, et renouvellez l'opération pour chaque biscuit.Faire...",20,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_gateau-de-biscuits-enrobe-de-creme-dessert-au-chocolat_41171.aspx,bon marché,très facile,99,e,b
Filet mignon pommes de terre au Cookeo,0,0,"filet mignon coupé en médaillons,vin blanc,fond de veau,champignon,eau,oignon,huile d'olive,pomme de terre,moutarde.Préparer les ingrédients: émincer les oignons et...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_filet-mignon-pommes-de-terre_529181.aspx,bon marché,facile,0,,
Poulet aux langoustines pour Noël,4,1,"poulet (cuisses + le haut de la cuisse),langoustine crues,beurre,concentré de tomates,échalote,vin blanc sec,crème fraîche épaisse,cognac,sel,poivre.Épluchez et hachez les échalotes.Dans une...",85,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_poulet-aux-langoustines-pour-noel_313593.aspx,Coût moyen,Niveau moyen,289,b,d
Stollen rhénan (pain de Noël allemand),3.7,3,"raisins secs,amandes,citron confit,orange confites,citron non traités,sel,cannelle,couteau de cardamome,muscade,anis en poudre,vanille,rhum (ou kirsch),levure du boulanger,lait,sucre,farine,beurre,oeuf,pâte...",1480,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_stollen-rhenan-pain-de-noel-allemand_26587.aspx,Coût moyen,facile,245,c,c
Confiture de Noel aux fruits secs ,0,0,"figue séchées,abricot secs,datte dénoyautées,pruneau,raisins secs,cerneau de noix,sucre en poudre,orange = zeste + jus,citron = zeste + jus,eau,quatre-épices . (poudres).Couper les fruits en ...",80,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_confiture-de-noel-aux-fruits-secs_231363.aspx,Coût moyen,facile,66,c,b
Nems feuilletés de Noël (aux escargots),5,1,"pâte feuilletée de bonne qualité,escargot de Bourgogne (en boîte),beurre pommade,persil double ciselé,échalote et 4 gousses d'ail,salade pour tenir les nems (chauds!),jaune d'oeuf pour la...",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_nems-feuilletes-de-noel-aux-escargots_52541.aspx,assez cher,très facile,508,e,d
Truffes à la noix de coco et au Nutella®,5,1,"oeuf,sucre en poudre,noix de coco rapée,Nutella®.Préchauffez le four à 170°C (thermostat 5-6) et positionnez une grille à mi-hauteur.Mélangez ensemble l’oeuf, le...",84,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=336&page=29,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_truffes-a-la-noix-de-coco-et-au-nutella_346549.aspx,bon marché,Niveau moyen,268,,
Petits gâteaux de Noël à la confiture,4.3,8,"farine,beurre,sucre,oeuf,sel,citron,confiture de mûres, groseilles pour la garniture.Mélanger l'ensemble des ingrédients. Former une boule. Laisser reposer la pâte une nuit au réfrigérateur....",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_petits-gateaux-de-noel-a-la-confiture_25863.aspx,bon marché,très facile,654,e,c
Biscuits de Noël faciles miel et cannelle ,0,0,"pâte sablée,miel,cannelle (selon le goût),eau tiède,citron jaune.Sortir la pâte sablée du réfrigérateur 1h avant l'utilisation.Dans un bol, mélanger le miel, la cannelle et l'eau...",22,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_biscuits-de-noel-faciles-miel-et-cannelle_232135.aspx,bon marché,facile,316,c,c
Bûche de Noël légère sans crème de marrons,0,0,"oeuf,sucre,cacao en poudre,crème fraîche allégée,sucre glace,extrait de vanille.Séparer les jaunes et les blancs d'oeufs. Mélanger les jaunes avec 50 g de sucre, ajoutez 25 g de cacao et 1...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-legere-sans-creme-de-marrons_232713.aspx,bon marché,facile,28,c,c
Carpaccio d'aiguillettes de canard par Laurent Mariotte,0,0,"aiguillette de canard gras,câpres au sel dessalées,tomate coeur de boeuf,radis,courgette jaune,basilic,huile d'olive,sel fin,poivre du moulin,piment...",33,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_carpaccio-d-aiguillettes-de-canard-par-laurent-mariotte_527985.aspx,Coût moyen,facile,0,,
Coeurs de noël au chocolat (non cuits) ,4.8,4,"amandes moulues,sucre glace,sucre vanillé,chocolat noir râpé,eau chaude,sucre semoule.Mélanger les amandes, le sucre glace, le sucre vanillé. Ajouter le chocolat et l'eau chaude. Pétrissez bien...",15,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_coeurs-de-noel-au-chocolat-non-cuits_26159.aspx,bon marché,facile,622,d,d
Bredeles au kirsch (gateaux de Noel alsaciens),0,0,"farine,sucre,beurre - 4 jaunes d'oeufs                                      - 2 cuillères à soupe de sucre glace,kirsch pour glacer.Mélanger la farine, le sucre, le beurre ramolli et couper en petit...",35,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_bredeles-au-kirsch-gateaux-de-noel-alsaciens_232373.aspx,bon marché,facile,98,e,c
bûche de Noël à la patate douce,2,2,"patate douce,oeuf + 1 pour le chocolat,beurre,sucre (selon votre goût),vanille,rhum,chocolat noir,maïzena.Faire une pâte à gâteau de patates douces. Pour cela, faire cuire les patates douces à...",105,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=348&page=30,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-a-la-patate-douce_34235.aspx,Coût moyen,Niveau moyen,58,c,c
